Describe the main red herring (if present),How satisfying is this story as a piece of detective fiction?,Plot Summary (25-50 words),Assistant #1 Role,Of what type is the essential clue (if present)?,Story Code,Presence of planted or fabricated evidence,When do(es) the crime(s)/mystery being investigated occur?,In what order are the investigation and reveal portions provided?,"More Than Two Assistants? (If yes, enter total number)","What is the ""reveal border"" sentence?",Are one or more culprits introduced into the story only during the reveal?,Of what type is the main red herring (if present)?,Name of Detective #2,Types of evidence made available in the story,"More Than Two Detectives? (If yes, enter total number)",Detective #1 Role,Of what type is the most salient clue (if clues are present)?,Would you recommend this story to a friend?,Annotator #1 Code,Number of culprits of gender Unknown,Types of crimes or quasi-crimes present in story,Does the story provide sufficient clues in sufficient detail to allow an alert reader to correctly guess the solution before the reveal?,Annotator #2 Code,Did either annotator personally correctly guess the solution to the crime before the reveal?,Name of Assistant #1,Assistant #2 Role,Number of culprits of gender Non-binary,Types of clues,Number of culprits of gender Female,Name of Assistant #2,Author Code,Story Name,Detective #2 Gender,What is the essential clue in the story (if present)?,Number of culprits of gender Male,The main culprit,Number of victims of gender Female,Detective #1 Gender,"Does the detective pointedly and independently decide NOT to alert the authorities to the facts of the crime, despite the fact that an actionable crime has been committed?",Do you receive a satisfying narrative of account of the crime(s) in all their relevant details and a summary of the process by which the crime(s) are solved?,Is the crime solved?,Who initiates the detective's investigation?,What is the role of the police force in solving the crime?,Second author code (if applicable),Means (murder only),What is the most salient clue in the story (if clues are present)?,Does the story provide sufficient clues in sufficient detail to allow an alert reader to definitively solve the crime before the reveal?,Crime trajectory,Assistant #2 Gender,Motives,Detective #2 Role,Number of victims of gender Male,Assistant #1 Gender,The story's main action focuses on a,Name of Detective #1,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book,Surname(s),Given Name(s),Sex,publication_year,crime_trajectory
NA,4,"Sherlock Holmes investigates the mysterious busting of Napoleon busts (which is owned by an odd group of people). Not only is there burglary, but theft! Murder! The Mob!",Independent amateur,Testimonial clue,RSH08,NA,"Before the investigation, During the investigation",Standard,NA,"“Gentlemen,” he cried, “let me introduce you to the famous black pearl of the Borgias.”",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SO,0,"Murder, Theft, Mischief, Breaking and entering",Yes,JM,No,John Watson,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,ACD,The Six Napoleons,NA,Beppo was a skilled sculptor,2,Acts together with one or more equal partners,0,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,Busting Napoleon busts,No,Qrime → same qrime,NA,Greed,NA,5,Male,Crime,Sherlock Holmes,1904-05-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1904,Qrime_to_same_qrime
The demeanor of the Indian,3,A university nightmare! Someone looked at the test answers for a Greek exam as part of a scholarship! The culprit is one of three students living with their professor.,Independent amateur,Physical clue,RSH09,NA,Before the investigation,Standard,NA,"Perhaps it would be easier for you if I were to tell Mr. Soames what occurred, and you can check me where I am wrong.",No,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SO,0,"Theft, Breaking and entering",Yes,JM,Yes,John Watson,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",0,NA,ACD,The Three Students,NA,Cleats markings,1,Acts mostly alone with some assistance,0,Male,Yes,Yes,Yes,A private client,Police are not present,NA,NA,Black clay balls,No,Qrime → same qrime,NA,Greed,NA,1,Male,Quasi-crime,Sherlock Holmes,1904-06-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1904,Qrime_to_same_qrime
NA,3,The professor's assistant is found dead. Pince-nez is found in his hand. Sherlock Holmes investigates this mysterious murder! Are there Russians involved?,Independent amateur,Physical clue,RSH10,NA,Before the investigation,Standard,NA,"Meanwhile I will reconstruct what is past for your benefit, so that you may know the information which I still require.",Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,Yes,SO,0,"Murder, Theft, Blackmail, Breaking and entering",No,JM,No,John Watson,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",1,NA,ACD,The Golden Pince-Nez,NA,Scratches in the Chubb's lock,1,Acts on behalf of a crime syndicate,1,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,"Poison, Knife/sword",Golden pince-nez,No,Qrime → same qrime,NA,"Revenge, Ideology",NA,2,Male,Crime,Sherlock Holmes,1904-07-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1904,Qrime_to_same_qrime
NA,4,"Jonas Oldacre, a wealthy builder, disappears in a fire at his estate. All evidence points towards John McFarlane, a young solicitor to whom Oldacre had recently named as the sole beneficiary of his will. The evidence is unambiguous—but perhaps too unambiguous.",Independent amateur,Physical clue,RSH02,"Planted, Fabricated","Before the investigation, During the investigation",Standard,NA,Only that there is an important witness whom you have not seen.,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,Yes,ZC,0,"Suspected murder, Fraud, Mischief",Yes,WW,Yes,John Watson,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",1,NA,ACD,The Norwood Builder,NA,"The addition of the suspect John McFarlane’s bloodied thumbprint at the scene of the crime, which had not been there during the initial survey of the crime scene.",1,Acts mostly alone with some assistance,0,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,The thumbprint; same as essential clue.,No,Qrime → different qrime,NA,"Greed, Revenge",NA,1,Male,Crime,Sherlock Holmes,1903-11-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1903,Qrime_to_different_qrime
NA,2,Country squire Hilton Cubitt requests the aid of Holmes in decoding a series of messages drawn in chalk around his estate. These sequences of hieroglyphic dancing men symbols may be connected to his wife Elsie Patrick’s mysterious past in America.,Independent amateur,Physical clue,RSH03,NA,"Before the investigation, During the investigation",Standard,NA,I think that I can help you to pass an hour in an interesting and profitable manner,Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,ZC,0,"Murder, Blackmail, Assault, Mischief",No,WW,No,John Watson,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,ACD,The Dancing Men,NA,The messages of the dancing men and Holmes’ decryption of them.,1,Acts alone,1,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Firearm,Elsie Patrick’s anxious reaction to the appearance of the dancing men symbols.,No,No qrime → qrime,NA,"Revenge, Jealousy, Self-defence",NA,1,Male,Crime,Sherlock Holmes,1903-12-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1903,No_qrime_to_qrime
NA,2,"Miss Violet Smith, a young music instructor and governess, cycles to and from her workplace on a weekly basis. Lately, she has been followed by a bearded cyclist, who has not made any attempt to approach her.",Independent amateur,NA,RSH04,NA,During the investigation,Standard,NA,"Yes,” said our ally, “I am Bob Carruthers",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,ZC,0,"Fraud, Assault, Kidnapping, Murder",No,WW,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,ACD,The Solitary Cyclist,NA,NA,3,Acts together with one or more equal partners,1,Male,No,Yes,Yes,A private client,Police are not present,NA,Firearm,"The person following Violet Smith keeps his distance, not wanting her to see his face.",No,No qrime → qrime,NA,"Greed, Jealousy, Love",NA,2,Male,Crime,Sherlock Holmes,1903-12-26 00:00:00+00:00,Journal,Collier's Weekly,Concan Doyle,Arthur,M,1903,No_qrime_to_qrime
NA,3,"Unforeseen circumstances lead to the disappearance of Lord Saltire, the son of the Duke of Holdernesse. His school principal seeks the assistance of Sherlock Holmes and Watson to solve the mystery of the child’s disappearance!",Independent amateur,Physical clue,RSH05,NA,"Before the investigation, During the investigation",Standard,NA,"“I accuse you,” said he. “And now, your Grace, I'll trouble you for that cheque.”",Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,Yes,SK,0,"Murder, Blackmail, Kidnapping",No,CC,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",1,NA,ACD,The Priory School,NA,Holmes seeing the horse stable,3,Acts together with one or more equal partners,0,Male,Yes,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Blunt force trauma,Cow tracks,No,Qrime → different qrime,NA,"Greed, Jealousy, Pride",NA,3,Male,Crime,Sherlock Holmes,1904-01-30 00:00:00+00:00,Journal,Collier's Weekly,Concan Doyle,Arthur,M,1904,Qrime_to_different_qrime
NA,3,"A hot-headed ship captain is found dead in a cottage away from his house, and the police inspector on the case seeks the assistance of Sherlock Holmes and Watson in order to determine who murdered the captain.",Independent amateur,Physical clue,RSH06,NA,Before the investigation,Standard,NA,"You were so absorbed in young Neligan that you could not spare a thought to Patrick Cairns, the true murderer of Peter Carey.”",Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SK,0,"Murder, Theft, Blackmail, Assault",No,CC,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,ACD,Black Peter,NA,Only rum was drunk when Whisky & Brandy were available,2,Acts alone,0,Male,No,Yes,Yes,The police,Police are present and contribute significantly to solving the crime,NA,Blunt force trauma,The harpoon as a murder weapon,No,Qrime → same qrime,NA,"Greed, Revenge, Self-defence",NA,2,Male,Crime,Sherlock Holmes,1904-02-27 00:00:00+00:00,Journal,Collier's Weekly,Concan Doyle,Arthur,M,1904,Qrime_to_same_qrime
NA,4,"With a professional blackmailer on the loose, Sherlock Holmes seeks to put a stop to the deviant’s man’s antics after being requested help from a well-known and recent debutante who now has her engagement on the line.",Independent amateur,Physical clue,RSH07,NA,"Before the investigation, During the investigation",Reverse,NA,Milverton will send the letters to the Earl unless a large sum of money is paid him.,Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,SK,0,"Murder, Theft, Fraud, Blackmail",Yes,CC,Yes,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",1,NA,ACD,Charles Augustus Milverton,NA,Milverton not being alone and looking at his watch (i.e. meeting/ expecting someone),3,Acts alone,2,Male,Yes,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Firearm,Blackmailing activity,Yes,Qrime → different qrime,NA,"Greed, Revenge, Pride",NA,2,Male,Crime,Sherlock Holmes,1904-03-26 00:00:00+00:00,Journal,Collier's Weekly,Concan Doyle,Arthur,M,1904,Qrime_to_different_qrime
NA,2,"Invited to stay a few days with a new friend of his, Mr.Eccles finds the house empty in the morning. Later that day, the cadaver of the said friend is found, he has been beaten to death. Dictators? Sacrificed animals? Holmes is investigated.",Independent amateur,Testimonial clue,HLB01,NA,"Before the investigation, During the investigation, After the investigation",Standard,NA,"“Just sit down in that chair, Watson,” said Sherlock Holmes when we had returned to our apartment at the Bull.",Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,Yes,SO,0,"Murder, Fraud, Assault, Kidnapping",No,JM,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",2,NA,ACD,Wisteria Lodge,NA,Mr.Henderson's weird behaviours,5,Acts together with one or more equal partners,1,Male,No,Yes,Yes,A private client,Police are present and contribute significantly to solving the crime,NA,"Firearm, Blunt force trauma",The letter,No,No qrime → qrime,NA,"Revenge, Crime-for-crime's-sake, Self-defence",NA,4,Male,Crime,Sherlock Holmes,1908-08-15 00:00:00+00:00,Journal,Collier's Magazine,Concan Doyle,Arthur,M,1908,No_qrime_to_qrime
NA,3,A woman receives two ears in a box. Some kind of sick joke or a violent murder?,Independent amateur,Physical clue,HLB02,NA,Before the investigation,Standard,NA,"On the contrary, to my mind nothing could be more clear. Let me run over the principal steps.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,Yes,SO,0,"Murder, Assault",Yes,JM,No,John Watson,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,ACD,The Cardboard Box,NA,The knot,1,Acts alone,2,Male,No,Yes,Yes,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Blunt force trauma,The ears,No,Qrime → different qrime,NA,Jealousy,NA,1,Male,Crime,Sherlock Holmes,1893-01-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1893,Qrime_to_different_qrime
NA,1,A hikikomori from Italy rents a room and...never leaves it. Sherlock Holmes investigates and uses his Italian to find the truth.,Independent amateur,Physical clue,HLB03,NA,"During the investigation, After the investigation",Standard,NA,"“I was born in Posilippo, near Naples,” said she, “and was the daughter of Augusto Barelli, who was the chief lawyer and once the deputy of that part.",Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SO,0,"Murder, Blackmail, Kidnapping, Breaking and entering",No,JM,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,ACD,The Red Circle,NA,"""ATTENTA"" lantern signals from the husband",2,Acts alone,1,Male,No,Yes,No,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,"""ATTENTA"" lantern signal from the husband",No,No qrime → qrime,NA,Self-defence,NA,2,Male,Quasi-crime,Sherlock Holmes,1911-04-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1911,No_qrime_to_qrime
NA,3,"A government clerk is discovered on the tracks of a London train, his head crushed. From his brother, Holmes learns that this death is connected to the disappearance of several papers of grave significance to national interests",Independent amateur,Physical clue,HLB04,Planted,Before the investigation,Standard,NA,"With the shock, his broad-brimmed hat flew from his head, his cravat slipped sown from his lips, and there were the long light beard and the soft, handsome delicate features of Colonel Valentine Walter.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,CC,0,"Murder, Theft, Breaking and entering",No,WW,No,John Watson,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,ACD,The Bruce-Partington Plans,NA,"The telegraphs that were sent from ""Pierrot""",2,Acts together with one or more equal partners,0,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Blunt force trauma,Culprit's brother passing away from stress/broken heart as a result of the crime.,No,Qrime → same qrime,NA,Greed,NA,1,Male,Crime,Sherlock Holmes,1908-12-01 00:00:00+00:00,Journal,The Strand,Concan Doyle,Arthur,M,1908,Qrime_to_same_qrime
